Country;Continent;Adolescent fertility rate (births per 1000 women ages 15-19);Agricultural land (sq. km);Aid per capita (current US$);Air transport passengers carried;Arable land (hectares);Birth rate crude (per 1000 people);Death rate crude (per 1000 people);Fertility rate total (births per woman);Forest area (sq. km);GDP (constant 2000 US$);Health expenditure per capita (current US$);Immunization DPT (% of children ages 12-23 months);Inflation consumer prices (annual %);Internet users (per 100 people);Land area (sq. km);Life expectancy at birth female (years);Life expectancy at birth male (years);Life expectancy at birth total (years);Military expenditure (% of GDP);Mortality rate adult female (per 1000 female adults);Mortality rate adult male (per 1000 male adults);Mortality rate infant (per 1000 live births);Personal computers (per 100 people);Population growth (annual %);Population total;Population female (% of total);Prevalence of HIV total (% of population ages 15-49);Ratio of female to male primary enrollment;Ratio of female to male secondary enrollment;Surface area (sq. km)
SierraLeone;Sub-Saharan Africa;172;28800;62;16743;600000;46;23;6;27540;1201615488;8;64;12;.;71620;44;40;42;1;352;420;160;.;4;5586403;51;2;.;.;71740
Singapore;Asia;5;8;.;17744017;600;10;4;1;20;1.13E+11;944;96;0;40;689;82;78;80;5;48;85;2;68;2;4341800;49;0;100;103;699
SlovakRepublic;Europe;20;19410;.;711939;1391000;10;10;1;19290;2.55E+10;626;99;3;35;48100;78;70;74;2;78;202;7;36;0;5387000;51;0;98;101;49030
Slovenia;Europe;6;5080;.;757651;176000;9;9;1;12640;2.29E+10;1495;96;2;54;20140;81;74;78;1;64;140;3;40;0;2000500;51;0;99;100;20270
SolomonIslands;Pacific;45;850;420;91450;18000;32;8;4;21720;323343808;28;78;7;1;27990;64;62;63;.;210;240;56;5;2;472419;48;.;96;84;28900
Somalia;Sub-Saharan Africa;68;443760;29;.;1350000;44;17;6;71310;.;.;35;.;1;627340;48;46;47;.;343;393;91;1;3;8196395;50;1;.;.;637660
SouthAfrica;Sub-Saharan Africa;65;996400;15;11844657;14753000;24;21;3;92030;1.61E+11;437;97;3;11;1214470;49;47;48;1;538;588;55;8;1;46892428;51;19;.;.;1219090
Spain;Europe;10;290300;.;49855007;13700000;11;9;1;179150;6.81E+11;2152;96;3;40;499190;84;77;81;1;45;110;4;28;2;43398150;50;1;99;106;505370
SriLanka;Asia;27;23560;61;2817778;916000;19;7;2;19330;1.98E+10;51;99;12;2;64630;77;72;75;3;104;248;12;4;1;19668000;50;0;100;.;65610
St.KittsandNevis;Latin America & Caribbean;.;100;52;.;7000;.;.;.;50;390861408;478;99;2;.;260;.;.;.;.;.;.;18;.;2;48000;.;.;106;98;260
St.Lucia;Latin America & Caribbean;61;200;64;.;4000;14;7;2;170;762979264;323;95;4;.;610;76;72;74;.;126;158;13;.;1;164791;50;.;97;121;620
St.VincentandtheGrenadines;Latin America & Caribbean;66;100;37;.;5000;20;7;2;110;389795104;218;99;4;8;390;73;69;71;.;110;163;17;14;1;119137;50;.;90;124;390
Sudan;Sub-Saharan Africa;62;1368370;50;510977;19434000;33;11;4;675460;1.69E+10;29;78;9;8;2376000;59;56;58;.;275;316;62;9;2;36899747;50;2;87;94;2505810
Suriname;Latin America & Caribbean;42;910;97;315410;60000;20;7;2;147760;1181892224;209;83;10;7;156000;73;67;70;.;126;236;30;4;1;452468;50;2;101;133;163270
Swaziland;Sub-Saharan Africa;35;13920;41;.;178000;34;20;4;5410;1561608064;146;71;5;4;17200;41;42;41;.;694;728;110;4;1;1131000;52;33;93;100;17360
Sweden;Europe;5;32190;.;.;2703000;10;10;2;275280;2.72E+11;3598;99;0;76;410330;83;78;81;2;51;80;3;84;0;9024040;49;0;100;99;450290
Switzerland;Europe;5;15250;.;9662619;410000;10;8;1;12210;2.60E+11;5694;94;1;51;40000;84;79;81;1;46;84;4;86;1;7437100;50;0;99;95;41280
SyrianArabRepublic;Middle East & North Africa;40;140080;4;1239825;4873000;27;3;3;4610;2.38E+10;61;99;7;6;183780;76;72;74;5;87;129;13;4;3;18893881;49;0;95;94;185180
Tajikistan;Asia;29;42550;38;479172;930000;28;7;4;4100;1532285056;18;85;.;0;139960;69;64;66;.;142;214;59;1;1;6550213;50;0;96;83;142550
Tanzania;Sub-Saharan Africa;125;343500;38;257223;9200000;40;14;5;352570;1.25E+10;17;90;9;1;885800;52;50;51;1;423;456;76;1;3;38477873;50;6;96;.;947300
Thailand;Asia;43;186000;-3;18902629;14200000;15;9;2;145200;1.57E+11;98;98;5;12;510890;75;65;70;1;165;288;8;7;1;63002911;51;1;99;107;513120
TimorLeste;Asia;58;3400;189;.;122000;51;15;7;7980;331100000;45;55;.;.;14870;58;56;57;.;242;277;52;.;5;975539;49;0;92;100;14870
Togo;Sub-Saharan Africa;95;36300;13;.;2490000;38;10;5;3860;1479506432;18;82;7;5;54390;60;56;58;2;233;282;70;3;3;6238572;50;3;85;51;56790
Tonga;Pacific;18;300;320;.;15000;25;6;4;40;166635104;104;99;8;3;720;74;72;73;.;120;147;20;6;0;99361;49;.;96;.;750
TrinidadandTobago;Latin America & Caribbean;35;1330;-2;1055106;75000;15;8;2;2260;1.23E+10;513;95;7;12;5130;71;67;69;.;192;246;32;10;0;1323722;51;3;98;105;5130
Tunisia;Middle East & North Africa;7;97690;36;1996699;2729000;17;6;2;10560;2.42E+10;158;98;2;10;155360;76;72;73;2;74;128;20;6;1;10029000;49;0;97;110;163610
Turkey;Middle East & North Africa;41;412230;6;16943828;23830000;19;6;2;101750;2.47E+11;383;90;10;16;769630;74;69;71;3;89;156;26;6;1;72065000;49;0;95;82;783560
